"Year","Rank","Song Title","Artist(s)"
"05/02/1964","3","Do You Want To Know A Secret","The Beatles"
"05/02/1964","7","Twist And Shout","The Beatles"
"05/02/1964","32","Love Me Do","The Beatles"
"05/02/1964","36","She Loves You","The Beatles"
"05/02/1964","40","Thank You Girl","The Beatles"
"05/02/1964","59","All My Loving","The Beatles"
"05/09/1964","2","Do You Want To Know A Secret","The Beatles"
"05/09/1964","5","Can't Buy Me Love","The Beatles"
"05/09/1964","11","Twist And Shout","The Beatles"
"05/09/1964","12","Love Me Do","The Beatles"
"05/09/1964","35","Thank You Girl","The Beatles"
"05/09/1964","64","P.S. I Love You","The Beatles"
"05/16/1964","3","Love Me Do","The Beatles"
"05/16/1964","5","Do You Want To Know A Secret","The Beatles"
"05/16/1964","11","Can't Buy Me Love","The Beatles"
"05/16/1964","20","Twist And Shout","The Beatles"
"05/16/1964","33","P.S. I Love You","The Beatles"
"05/16/1964","49","Thank You Girl","The Beatles"
"05/23/1964","2","Love Me Do","The Beatles"
"05/23/1964","12","Do You Want To Know A Secret","The Beatles"
"05/23/1964","15","P.S. I Love You","The Beatles"
"05/23/1964","23","Can't Buy Me Love","The Beatles"
"05/23/1964","41","Twist And Shout","The Beatles"
"05/30/1964","1","Love Me Do","The Beatles"
"05/30/1964","11","P.S. I Love You","The Beatles"
"05/30/1964","19","Do You Want To Know A Secret","The Beatles"
"05/30/1964","42","Can't Buy Me Love","The Beatles"
"06/06/1964","2","Love Me Do","The Beatles"
"06/06/1964","10","P.S. I Love You","The Beatles"
"06/06/1964","36","Do You Want To Know A Secret","The Beatles"
"06/13/1964","4","Love Me Do","The Beatles"
"06/13/1964","15","P.S. I Love You","The Beatles"
"06/13/1964","97","Four By The Beatles","The Beatles"
"06/20/1964","7","Love Me Do","The Beatles"
"06/20/1964","22","P.S. I Love You","The Beatles"
"06/20/1964","97","Four By The Beatles","The Beatles"
"06/27/1964","11","Love Me Do","The Beatles"
"06/27/1964","37","P.S. I Love You","The Beatles"
"06/27/1964","92","Four By The Beatles","The Beatles"
"07/04/1964","19","Love Me Do","The Beatles"
"07/11/1964","24","Love Me Do","The Beatles"
"07/18/1964","21","A Hard Day's Night","The Beatles"
"07/18/1964","90","Ain't She Sweet","The Beatles"
"07/25/1964","2","A Hard Day's Night","The Beatles"
"07/25/1964","67","Ain't She Sweet","The Beatles"
"07/25/1964","75","I Should Have Known Better","The Beatles"
"07/25/1964","80","And I Love Her","The Beatles"
"08/01/1964","1","A Hard Day's Night","The Beatles"
"08/01/1964","40","Ain't She Sweet","The Beatles"
"08/01/1964","62","I'll Cry Instead","The Beatles"
"08/01/1964","65","And I Love Her","The Beatles"
"08/01/1964","66","I Should Have Known Better","The Beatles"
"08/01/1964","92","If I Fell","The Beatles"
"08/01/1964","95","I'm Happy Just To Dance With You","The Beatles"
"08/08/1964","1","A Hard Day's Night","The Beatles"
"08/08/1964","25","Ain't She Sweet","The Beatles"
"08/08/1964","40","And I Love Her","The Beatles"
"08/08/1964","44","I'll Cry Instead","The Beatles"
"08/08/1964","59","I Should Have Known Better","The Beatles"
"08/08/1964","87","If I Fell","The Beatles"
"08/15/1964","3","A Hard Day's Night","The Beatles"
"08/15/1964","22","Ain't She Sweet","The Beatles"
"08/15/1964","27","And I Love Her","The Beatles"
"08/15/1964","34","I'll Cry Instead","The Beatles"
"08/15/1964","53","I Should Have Known Better","The Beatles"
"08/15/1964","72","If I Fell","The Beatles"
"08/22/1964","3","A Hard Day's Night","The Beatles"
"08/22/1964","17","And I Love Her","The Beatles"
"08/22/1964","19","Ain't She Sweet","The Beatles"
"08/22/1964","29","I'll Cry Instead","The Beatles"
"08/22/1964","57","If I Fell","The Beatles"
"08/29/1964","4","A Hard Day's Night","The Beatles"
"08/29/1964","13","And I Love Her","The Beatles"
"08/29/1964","24","Ain't She Sweet","The Beatles"
"08/29/1964","25","I'll Cry Instead","The Beatles"
"08/29/1964","54","If I Fell","The Beatles"
"09/05/1964","8","A Hard Day's Night","The Beatles"
"09/05/1964","12","And I Love Her","The Beatles"
"09/05/1964","30","Ain't She Sweet","The Beatles"
"09/05/1964","34","I'll Cry Instead","The Beatles"
"09/05/1964","53","If I Fell","The Beatles"
"09/05/1964","81","Matchbox","The Beatles"
"09/05/1964","99","Slow Down","The Beatles"
"09/12/1964","8","A Hard Day's Night","The Beatles"
"09/12/1964","12","And I Love Her","The Beatles"
"09/12/1964","36","I'll Cry Instead","The Beatles"
"09/12/1964","37","Ain't She Sweet","The Beatles"
"09/12/1964","42","Matchbox","The Beatles"
"09/12/1964","59","If I Fell","The Beatles"
"09/12/1964","67","Slow Down","The Beatles"
"09/19/1964","12","A Hard Day's Night","The Beatles"
"09/19/1964","28","And I Love Her","The Beatles"
"09/19/1964","32","Matchbox","The Beatles"
"09/19/1964","43","Slow Down","The Beatles"
"09/19/1964","55","If I Fell","The Beatles"
"09/26/1964","19","A Hard Day's Night","The Beatles"
"09/26/1964","23","Matchbox","The Beatles"
"09/26/1964","32","Slow Down","The Beatles"
"09/26/1964","59","If I Fell","The Beatles"
"10/03/1964","18","Matchbox","The Beatles"
"10/03/1964","24","A Hard Day's Night","The Beatles"
"10/03/1964","27","Slow Down","The Beatles"
"10/10/1964","18","Matchbox","The Beatles"
"10/10/1964","25","Slow Down","The Beatles"
"10/10/1964","50","A Hard Day's Night","The Beatles"
"10/17/1964","17","Matchbox","The Beatles"
"10/17/1964","39","Slow Down","The Beatles"
"10/24/1964","52","Matchbox","The Beatles"
"12/05/1964","22","I Feel Fine","The Beatles"
"12/05/1964","46","She's A Woman","The Beatles"
"12/12/1964","5","I Feel Fine","The Beatles"
"12/12/1964","29","She's A Woman","The Beatles"
"12/19/1964","2","I Feel Fine","The Beatles"
"12/19/1964","14","She's A Woman","The Beatles"
"12/26/1964","1","I Feel Fine","The Beatles"
"12/26/1964","4","She's A Woman","The Beatles"
