"Year","Rank","Song Title","Artist(s)","Lyrics","URL"
"1974","44","Smokin' in the Boys Room","Brownsville Station","","http://azlyrics.com/lyrics/brownsvillestation/smokinintheboysroom.html"
"1974","45","Living for the City","Stevie Wonder","","http://azlyrics.com/lyrics/steviewonder/livingforthecity.html"
"1974","46","The Night Chicago Died","Paper Lace","","http://azlyrics.com/lyrics/paperlace/thenightchicagodied.html"
"1974","47","Then Came You","Dionne Warwick & The Spinners","","http://azlyrics.com/lyrics/dionnewarwickthespinners/thencameyou.html"
"1974","48","The Entertainer","Marvin Hamlisch","","http://azlyrics.com/lyrics/marvinhamlisch/theentertainer.html"
"1974","49","Waterloo","ABBA","","http://azlyrics.com/lyrics/abba/waterloo.html"
"1974","50","The Air That I Breathe","The Hollies","","http://azlyrics.com/lyrics/hollies/theairthatibreathe.html"
"1974","51","Rikki Don't Lose That Number","Steely Dan","","http://azlyrics.com/lyrics/steelydan/rikkidontlosethatnumber.html"
"1974","52","Mockingbird","Carly Simon & James Taylor","","http://azlyrics.com/lyrics/carlysimonjamestaylor/mockingbird.html"
"1974","53","Help Me","Joni Mitchell","","http://azlyrics.com/lyrics/jonimitchell/helpme.html"
"1974","54","You Won't See Me","Anne Murray","","http://azlyrics.com/lyrics/annemurray/youwontseeme.html"
"1974","55","Never, Never Gonna Give You Up","Barry White","","http://azlyrics.com/lyrics/barrywhite/nevernevergonnagiveyouup.html"
"1974","56","Tell Me Something Good","Rufus & Chaka Khan","","http://azlyrics.com/lyrics/rufuschakakhan/tellmesomethinggood.html"
"1974","57","You and Me Against the World","Helen Reddy","","http://azlyrics.com/lyrics/helenreddy/youandmeagainsttheworld.html"
"1974","58","Rock and Roll Heaven","The Righteous Brothers","","http://azlyrics.com/lyrics/righteousbrothers/rockandrollheaven.html"
"1974","59","Hollywood Swinging","Kool & the Gang","","http://azlyrics.com/lyrics/koolthegang/hollywoodswinging.html"
"1974","60","Be Thankful for What You Got","William DeVaughn","","http://azlyrics.com/lyrics/williamdevaughn/bethankfulforwhatyougot.html"
"1974","61","Hang on in There Baby","Johnny Bristol","","http://azlyrics.com/lyrics/johnnybristol/hangonintherebaby.html"
"1974","62","Eres tú","Mocedades","","http://azlyrics.com/lyrics/mocedades/erest.html"
"1974","63","Takin' Care of Business","Bachman-Turner Overdrive","","http://azlyrics.com/lyrics/bachmanturneroverdrive/takincareofbusiness.html"
"1974","64","Radar Love","Golden Earring","","http://azlyrics.com/lyrics/goldenearring/radarlove.html"
"1974","65","Please Come to Boston","Dave Loggins","","http://azlyrics.com/lyrics/daveloggins/pleasecometoboston.html"
"1974","66","Keep on Smilin'","Wet Willie","","http://azlyrics.com/lyrics/wetwillie/keeponsmilin.html"
"1974","67","Lookin' for a Love","Bobby Womack","","http://azlyrics.com/lyrics/bobbywomack/lookinforalove.html"
"1974","68","Put Your Hands Together","The O'Jays","","http://azlyrics.com/lyrics/ojays/putyourhandstogether.html"
"1974","69","On and On","Gladys Knight & the Pips","","http://azlyrics.com/lyrics/gladysknightthepips/onandon.html"
"1974","70","Oh Very Young","Cat Stevens","","http://azlyrics.com/lyrics/catstevens/ohveryyoung.html"
"1974","71","Leave Me Alone (Ruby Red Dress)","Helen Reddy","","http://azlyrics.com/lyrics/helenreddy/leavemealonerubyreddress.html"
"1974","72","Goodbye Yellow Brick Road","Elton John","","http://azlyrics.com/lyrics/eltonjohn/goodbyeyellowbrickroad.html"
"1974","73","(I've Been) Searchin' So Long","Chicago","","http://azlyrics.com/lyrics/chicago/ivebeensearchinsolong.html"
"1974","74","Oh My My","Ringo Starr","","http://azlyrics.com/lyrics/ringostarr/ohmymy.html"
"1974","75","For the Love of Money","The O'Jays","","http://azlyrics.com/lyrics/ojays/fortheloveofmoney.html"
"1974","76","I Shot the Sheriff","Eric Clapton","","http://azlyrics.com/lyrics/ericclapton/ishotthesheriff.html"
"1974","77","Jet","Paul McCartney and Wings","","http://azlyrics.com/lyrics/paulmccartneyandwings/jet.html"
"1974","78","Don't Let the Sun Go Down on Me","Elton John","","http://azlyrics.com/lyrics/eltonjohn/dontletthesungodownonme.html"
"1974","79","Tubular Bells","Mike Oldfield","","http://azlyrics.com/lyrics/mikeoldfield/tubularbells.html"
"1974","80","A Love Song","Anne Murray","","http://azlyrics.com/lyrics/annemurray/alovesong.html"
"1974","81","I'm Leaving It Up to You","Donny and Marie Osmond","","http://azlyrics.com/lyrics/donnyandmarieosmond/imleavingituptoyou.html"
"1974","82","Hello It's Me","Todd Rundgren","","http://azlyrics.com/lyrics/toddrundgren/helloitsme.html"
"1974","83","I Love","Tom T. Hall","","http://azlyrics.com/lyrics/tomthall/ilove.html"
"1974","84","Clap for the Wolfman","The Guess Who featuring Wolfman Jack","","http://azlyrics.com/lyrics/guesswhofeaturingwolfmanjack/clapforthewolfman.html"
"1974","85","I'll Have to Say I Love You in a Song","Jim Croce","","http://azlyrics.com/lyrics/jimcroce/illhavetosayiloveyouinasong.html"
"1974","86","The Lord's Prayer","Sister Janet Mead","","http://azlyrics.com/lyrics/sisterjanetmead/thelordsprayer.html"
"1974","87","Trying to Hold on to My Woman","Lamont Dozier","","http://azlyrics.com/lyrics/lamontdozier/tryingtoholdontomywoman.html"
"1974","88","Don't You Worry 'bout a Thing","Stevie Wonder","","http://azlyrics.com/lyrics/steviewonder/dontyouworryboutathing.html"
"1974","89","A Very Special Love Song","Charlie Rich","","http://azlyrics.com/lyrics/charlierich/averyspeciallovesong.html"
"1974","90","My Girl Bill","Jim Stafford","","http://azlyrics.com/lyrics/jimstafford/mygirlbill.html"
"1974","91","Helen Wheels","Paul McCartney and Wings","","http://azlyrics.com/lyrics/paulmccartneyandwings/helenwheels.html"
"1974","92","My Mistake (Was to Love You)","Diana Ross & Marvin Gaye","","http://azlyrics.com/lyrics/dianarossmarvingaye/mymistakewastoloveyou.html"
"1974","93","Wildwood Weed","Jim Stafford","","http://azlyrics.com/lyrics/jimstafford/wildwoodweed.html"
"1974","94","Beach Baby","The First Class","","http://azlyrics.com/lyrics/firstclass/beachbaby.html"
"1974","95","Me and Baby Brother","War","","http://azlyrics.com/lyrics/war/meandbabybrother.html"
"1974","96","Rockin' Roll Baby","The Stylistics","","http://azlyrics.com/lyrics/stylistics/rockinrollbaby.html"
"1974","97","I Honestly Love You","Olivia Newton-John","","http://azlyrics.com/lyrics/olivianewtonjohn/ihonestlyloveyou.html"
"1974","98","Call on Me","Chicago","","http://azlyrics.com/lyrics/chicago/callonme.html"
"1974","99","Wild Thing","Fancy","","http://azlyrics.com/lyrics/fancy/wildthing.html"
"1974","100","Mighty Love","The Spinners","","http://azlyrics.com/lyrics/spinners/mightylove.html"
"1975","1","Love Will Keep Us Together","Captain & Tennille","","http://azlyrics.com/lyrics/captaintennille/lovewillkeepustogether.html"
"1975","2","Rhinestone Cowboy","Glen Campbell","","http://azlyrics.com/lyrics/glencampbell/rhinestonecowboy.html"
"1975","3","Philadelphia Freedom","Elton John","","http://azlyrics.com/lyrics/eltonjohn/philadelphiafreedom.html"
"1975","4","Before the Next Teardrop Falls","Freddy Fender","","http://azlyrics.com/lyrics/freddyfender/beforethenextteardropfalls.html"
"1975","5","My Eyes Adored You","Frankie Valli","","http://azlyrics.com/lyrics/frankievalli/myeyesadoredyou.html"
"1975","6","Some Kind of Wonderful","Grand Funk","","http://azlyrics.com/lyrics/grandfunk/somekindofwonderful.html"
"1975","7","Shining Star","Earth, Wind & Fire","","http://azlyrics.com/lyrics/earthwindfire/shiningstar.html"
"1975","8","Fame","David Bowie","","http://azlyrics.com/lyrics/davidbowie/fame.html"
"1975","9","Laughter in the Rain","Neil Sedaka","","http://azlyrics.com/lyrics/neilsedaka/laughterintherain.html"
"1975","10","One of These Nights","Eagles","","http://azlyrics.com/lyrics/eagles/oneofthesenights.html"
"1975","11","Thank God I'm a Country Boy","John Denver","","http://azlyrics.com/lyrics/johndenver/thankgodimacountryboy.html"
"1975","12","Jive Talkin'","Bee Gees","","http://azlyrics.com/lyrics/beegees/jivetalkin.html"
"1975","13","Best of My Love","Eagles","","http://azlyrics.com/lyrics/eagles/bestofmylove.html"
"1975","14","Lovin' You","Minnie Riperton","","http://azlyrics.com/lyrics/minnieriperton/lovinyou.html"
"1975","15","Kung Fu Fighting","Carl Douglas","","http://azlyrics.com/lyrics/carldouglas/kungfufighting.html"
"1975","16","Black Water","The Doobie Brothers","","http://azlyrics.com/lyrics/doobiebrothers/blackwater.html"
"1975","17","The Ballroom Blitz","Sweet","","http://azlyrics.com/lyrics/sweet/theballroomblitz.html"
"1975","18","(Hey Won't You Play) Another Somebody Done Somebody Wrong Song","B.J. Thomas","","http://azlyrics.com/lyrics/bjthomas/heywontyouplayanothersomebodydonesomebodywrongsong.html"
"1975","19","He Don't Love You (Like I Love You)","Tony Orlando and Dawn","","http://azlyrics.com/lyrics/tonyorlandoanddawn/hedontloveyoulikeiloveyou.html"
"1975","20","At Seventeen","Janis Ian","","http://azlyrics.com/lyrics/janisian/atseventeen.html"
"1975","21","Pick Up the Pieces","Average White Band","","http://azlyrics.com/lyrics/averagewhiteband/pickupthepieces.html"
"1975","22","The Hustle","Van McCoy & the Soul City Symphony","","http://azlyrics.com/lyrics/vanmccoythesoulcitysymphony/thehustle.html"
"1975","23","Lady Marmalade","Labelle","","http://azlyrics.com/lyrics/labelle/ladymarmalade.html"
"1975","24","Why Can't We Be Friends?","War","","http://azlyrics.com/lyrics/war/whycantwebefriends.html"
"1975","25","Love Won't Let Me Wait","Major Harris","","http://azlyrics.com/lyrics/majorharris/lovewontletmewait.html"
"1975","26","Boogie On Reggae Woman","Stevie Wonder","","http://azlyrics.com/lyrics/steviewonder/boogieonreggaewoman.html"
"1975","27","Angie Baby","Helen Reddy","","http://azlyrics.com/lyrics/helenreddy/angiebaby.html"
"1975","28","Wasted Days and Wasted Nights","Freddy Fender","","http://azlyrics.com/lyrics/freddyfender/wasteddaysandwastednights.html"
"1975","29","Fight the Power","The Isley Brothers","","http://azlyrics.com/lyrics/isleybrothers/fightthepower.html"
"1975","30","Jackie Blue","Ozark Mountain Daredevils","","http://azlyrics.com/lyrics/ozarkmountaindaredevils/jackieblue.html"
"1975","31","Fire","Ohio Players","","http://azlyrics.com/lyrics/ohioplayers/fire.html"
"1975","32","Magic","Pilot","","http://azlyrics.com/lyrics/pilot/magic.html"
"1975","33","Please Mr. Postman","The Carpenters","","http://azlyrics.com/lyrics/carpenters/pleasemrpostman.html"
"1975","34","Sister Golden Hair","America","","http://azlyrics.com/lyrics/america/sistergoldenhair.html"
"1975","35","Lucy in the Sky with Diamonds","Elton John","","http://azlyrics.com/lyrics/eltonjohn/lucyintheskywithdiamonds.html"
"1975","36","Mandy","Barry Manilow","","http://azlyrics.com/lyrics/barrymanilow/mandy.html"
"1975","37","Have You Never Been Mellow","Olivia Newton-John","","http://azlyrics.com/lyrics/olivianewtonjohn/haveyouneverbeenmellow.html"
"1975","38","Could It Be Magic","Barry Manilow","","http://azlyrics.com/lyrics/barrymanilow/coulditbemagic.html"
"1975","39","Cat's in the Cradle","Harry Chapin","","http://azlyrics.com/lyrics/harrychapin/catsinthecradle.html"
"1975","40","Wildfire","Michael Martin Murphey","","http://azlyrics.com/lyrics/michaelmartinmurphey/wildfire.html"
"1975","41","I'm Not Lisa","Jessi Colter","","http://azlyrics.com/lyrics/jessicolter/imnotlisa.html"
"1975","42","Listen to What the Man Said","Wings","","http://azlyrics.com/lyrics/wings/listentowhatthemansaid.html"
"1975","43","I'm Not in Love","10cc","","http://azlyrics.com/lyrics/10cc/imnotinlove.html"
"1975","44","I Can Help","Billy Swan","","http://azlyrics.com/lyrics/billyswan/icanhelp.html"
"1975","45","Fallin' in Love","Hamilton, Joe Frank & Reynolds","","http://azlyrics.com/lyrics/hamiltonjoefrankreynolds/fallininlove.html"
"1975","46","Feelings","Morris Albert","","http://azlyrics.com/lyrics/morrisalbert/feelings.html"
"1975","47","When Will I Be Loved","Linda Ronstadt","","http://azlyrics.com/lyrics/lindaronstadt/whenwillibeloved.html"
"1975","48","Chevy Van","Sammy Johns","","http://azlyrics.com/lyrics/sammyjohns/chevyvan.html"
"1975","49","You're the First, the Last, My Everything","Barry White","","http://azlyrics.com/lyrics/barrywhite/yourethefirstthelastmyeverything.html"
"1975","50","Please Mr. Please","Olivia Newton-John","","http://azlyrics.com/lyrics/olivianewtonjohn/pleasemrplease.html"
"1975","51","You're No Good","Linda Ronstadt","","http://azlyrics.com/lyrics/lindaronstadt/yourenogood.html"
"1975","52","Dynomite","Bazuka","","http://azlyrics.com/lyrics/bazuka/dynomite.html"
"1975","53","Walking in Rhythm","The Blackbyrds","","http://azlyrics.com/lyrics/blackbyrds/walkinginrhythm.html"
"1975","54","The Way We Were""/""Try to Remember","Gladys Knight & the Pips","","http://azlyrics.com/lyrics/gladysknightthepips/thewayweweretrytoremember.html"
"1975","55","Midnight Blue","Melissa Manchester","","http://azlyrics.com/lyrics/melissamanchester/midnightblue.html"
"1975","56","Don't Call Us, We'll Call You","Sugarloaf","","http://azlyrics.com/lyrics/sugarloaf/dontcalluswellcallyou.html"
"1975","57","Poetry Man","Phoebe Snow","","http://azlyrics.com/lyrics/phoebesnow/poetryman.html"
"1975","58","How Long?","Ace","","http://azlyrics.com/lyrics/ace/howlong.html"
"1975","59","Express","B.T. Express","","http://azlyrics.com/lyrics/btexpress/express.html"
"1975","60","That's the Way of the World","Earth, Wind & Fire","","http://azlyrics.com/lyrics/earthwindfire/thatsthewayoftheworld.html"
"1975","61","Lady","Styx","","http://azlyrics.com/lyrics/styx/lady.html"
"1975","62","Bad Time","Grand Funk","","http://azlyrics.com/lyrics/grandfunk/badtime.html"
"1975","63","Only Women Bleed","Alice Cooper","","http://azlyrics.com/lyrics/alicecooper/onlywomenbleed.html"
"1975","64","Doctor's Orders","Carol Douglas","","http://azlyrics.com/lyrics/caroldouglas/doctorsorders.html"
"1975","65","Get Down Tonight","KC and the Sunshine Band","","http://azlyrics.com/lyrics/kcandthesunshineband/getdowntonight.html"
"1975","66","One Man Woman/One Woman Man","Paul Anka & Odia Coates","","http://azlyrics.com/lyrics/paulankaodiacoates/onemanwomanonewomanman.html"
"1975","67","You Are So Beautiful","Joe Cocker","","http://azlyrics.com/lyrics/joecocker/youaresobeautiful.html"
"1975","68","Feel Like Makin' Love","Bad Company","","http://azlyrics.com/lyrics/badcompany/feellikemakinlove.html"
"1975","69","How Sweet It Is (To Be Loved by You)","James Taylor","","http://azlyrics.com/lyrics/jamestaylor/howsweetitistobelovedbyyou.html"
"1975","70","Dance with Me","Orleans","","http://azlyrics.com/lyrics/orleans/dancewithme.html"
"1975","71","Cut the Cake","Average White Band","","http://azlyrics.com/lyrics/averagewhiteband/cutthecake.html"
"1975","72","Never Can Say Goodbye","Gloria Gaynor","","http://azlyrics.com/lyrics/gloriagaynor/nevercansaygoodbye.html"
"1975","73","I Don't Like to Sleep Alone","Paul Anka & Odia Coates","","http://azlyrics.com/lyrics/paulankaodiacoates/idontliketosleepalone.html"
"1975","74","Morning Side of the Mountain","Donny & Marie Osmond","","http://azlyrics.com/lyrics/donnymarieosmond/morningsideofthemountain.html"
"1975","75","When Will I See You Again","The Three Degrees","","http://azlyrics.com/lyrics/threedegrees/whenwilliseeyouagain.html"
"1975","76","Get Down, Get Down (Get on the Floor)","Joe Simon","","http://azlyrics.com/lyrics/joesimon/getdowngetdowngetonthefloor.html"
"1975","77","I'm Sorry","John Denver","","http://azlyrics.com/lyrics/johndenver/imsorry.html"
"1975","78","Killer Queen","Queen","","http://azlyrics.com/lyrics/queen/killerqueen.html"
