"Year","Rank","Song Title","Artist(s)","Album"
"10/14/1972","1","Ben","Michael Jackson","Ben"
"10/21/1972","6","Ben","Michael Jackson","Ben"
"10/28/1972","8","Ben","Michael Jackson","Ben"
"11/04/1972","10","Ben","Michael Jackson","Ben"
"11/11/1972","17","Ben","Michael Jackson","Ben"
"11/18/1972","35","Ben","Michael Jackson","Ben"
"05/05/1973","84","With A Child's Heart","Michael Jackson","Music and Me"
"05/12/1973","71","With A Child's Heart","Michael Jackson","Music and Me"
"05/19/1973","55","With A Child's Heart","Michael Jackson","Music and Me"
"05/26/1973","51","With A Child's Heart","Michael Jackson","Music and Me"
"06/02/1973","50","With A Child's Heart","Michael Jackson","Music and Me"
"06/09/1973","55","With A Child's Heart","Michael Jackson","Music and Me"
"06/16/1973","56","With A Child's Heart","Michael Jackson","Music and Me"
"09/09/1978","77","Ease On Down The Road","Michael Jackson","A Salute To Michael Jackson - The King Of Pop"
"09/16/1978","66","Ease On Down The Road","Michael Jackson","A Salute To Michael Jackson - The King Of Pop"
"09/23/1978","56","Ease On Down The Road","Michael Jackson","A Salute To Michael Jackson - The King Of Pop"
"09/30/1978","50","Ease On Down The Road","Michael Jackson","A Salute To Michael Jackson - The King Of Pop"
"10/07/1978","44","Ease On Down The Road","Michael Jackson","A Salute To Michael Jackson - The King Of Pop"
"10/14/1978","42","Ease On Down The Road","Michael Jackson","A Salute To Michael Jackson - The King Of Pop"
"10/21/1978","41","Ease On Down The Road","Michael Jackson","A Salute To Michael Jackson - The King Of Pop"
"10/28/1978","41","Ease On Down The Road","Michael Jackson","A Salute To Michael Jackson - The King Of Pop"
"11/04/1978","97","Ease On Down The Road","Michael Jackson","A Salute To Michael Jackson - The King Of Pop"
"02/24/1979","83","You Can't Win (Part 1)","Michael Jackson","none"
"03/03/1979","81","You Can't Win (Part 1)","Michael Jackson","none"
"03/10/1979","95","You Can't Win (Part 1)","Michael Jackson","none"
"07/28/1979","87","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"08/04/1979","77","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"08/11/1979","73","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"08/18/1979","64","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"08/25/1979","54","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"09/01/1979","35","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"09/08/1979","32","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"09/15/1979","28","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"09/22/1979","12","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"09/29/1979","4","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"10/06/1979","2","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"10/13/1979","1","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"10/20/1979","2","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"10/27/1979","3","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"11/03/1979","6","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"11/03/1979","76","Rock With You","Michael Jackson","Just Me"
"11/10/1979","12","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"11/10/1979","64","Rock With You","Michael Jackson","Just Me"
"11/17/1979","13","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"11/17/1979","59","Rock With You","Michael Jackson","Just Me"
"11/24/1979","35","Rock With You","Michael Jackson","Just Me"
"11/24/1979","47","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"12/01/1979","29","Rock With You","Michael Jackson","Just Me"
"12/01/1979","64","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"12/08/1979","21","Rock With You","Michael Jackson","Just Me"
"12/08/1979","84","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"12/15/1979","12","Rock With You","Michael Jackson","Just Me"
"12/15/1979","98","Don't Stop 'til You Get Enough","Michael Jackson","Off the Wall"
"12/22/1979","11","Rock With You","Michael Jackson","Just Me"
"12/29/1979","11","Rock With You","Michael Jackson","Just Me"
"01/05/1980","3","Rock With You","Michael Jackson","Just Me"
"01/12/1980","2","Rock With You","Michael Jackson","Just Me"
"01/19/1980","1","Rock With You","Michael Jackson","Just Me"
"01/26/1980","1","Rock With You","Michael Jackson","Just Me"
"02/02/1980","1","Rock With You","Michael Jackson","Just Me"
"02/09/1980","1","Rock With You","Michael Jackson","Just Me"
"02/16/1980","5","Rock With You","Michael Jackson","Just Me"
"02/16/1980","53","Off The Wall","Michael Jackson","Off the Wall"
"02/23/1980","5","Rock With You","Michael Jackson","Just Me"
"02/23/1980","37","Off The Wall","Michael Jackson","Off the Wall"
"03/01/1980","8","Rock With You","Michael Jackson","Just Me"
"03/01/1980","33","Off The Wall","Michael Jackson","Off the Wall"
"03/08/1980","14","Rock With You","Michael Jackson","Just Me"
"03/08/1980","29","Off The Wall","Michael Jackson","Off the Wall"
"03/15/1980","20","Off The Wall","Michael Jackson","Off the Wall"
"03/15/1980","27","Rock With You","Michael Jackson","Just Me"
"03/22/1980","17","Off The Wall","Michael Jackson","Off the Wall"
"03/22/1980","30","Rock With You","Michael Jackson","Just Me"
"03/29/1980","14","Off The Wall","Michael Jackson","Off the Wall"
"03/29/1980","38","Rock With You","Michael Jackson","Just Me"
"04/05/1980","12","Off The Wall","Michael Jackson","Off the Wall"
"04/05/1980","54","Rock With You","Michael Jackson","Just Me"
"04/12/1980","10","Off The Wall","Michael Jackson","Off the Wall"
"04/12/1980","96","Rock With You","Michael Jackson","Just Me"
"04/19/1980","10","Off The Wall","Michael Jackson","Off the Wall"
"04/19/1980","57","She's Out Of My Life","Michael Jackson","Off the Wall"
"04/26/1980","16","Off The Wall","Michael Jackson","Off the Wall"
"04/26/1980","49","She's Out Of My Life","Michael Jackson","Off the Wall"
"05/03/1980","30","Off The Wall","Michael Jackson","Off the Wall"
"05/03/1980","41","She's Out Of My Life","Michael Jackson","Off the Wall"
"05/10/1980","30","She's Out Of My Life","Michael Jackson","Off the Wall"
"05/10/1980","59","Off The Wall","Michael Jackson","Off the Wall"
"05/17/1980","26","She's Out Of My Life","Michael Jackson","Off the Wall"
"05/17/1980","70","Off The Wall","Michael Jackson","Off the Wall"
"05/24/1980","19","She's Out Of My Life","Michael Jackson","Off the Wall"
"05/24/1980","100","Off The Wall","Michael Jackson","Off the Wall"
"05/31/1980","17","She's Out Of My Life","Michael Jackson","Off the Wall"
"05/31/1980","98","Off The Wall","Michael Jackson","Off the Wall"
"06/07/1980","12","She's Out Of My Life","Michael Jackson","Off the Wall"
"06/07/1980","100","Off The Wall","Michael Jackson","Off the Wall"
"06/14/1980","11","She's Out Of My Life","Michael Jackson","Off the Wall"
"06/21/1980","10","She's Out Of My Life","Michael Jackson","Off the Wall"
"06/28/1980","10","She's Out Of My Life","Michael Jackson","Off the Wall"
"07/05/1980","13","She's Out Of My Life","Michael Jackson","Off the Wall"
"07/12/1980","24","She's Out Of My Life","Michael Jackson","Off the Wall"
"07/19/1980","35","She's Out Of My Life","Michael Jackson","Off the Wall"
"07/26/1980","54","She's Out Of My Life","Michael Jackson","Off the Wall"
"08/02/1980","96","She's Out Of My Life","Michael Jackson","Off the Wall"
"04/18/1981","81","One Day In Your Life","Michael Jackson","Forever, Michael"
"04/25/1981","70","One Day In Your Life","Michael Jackson","Forever, Michael"
"05/02/1981","62","One Day In Your Life","Michael Jackson","Forever, Michael"
"05/09/1981","58","One Day In Your Life","Michael Jackson","Forever, Michael"
"05/16/1981","55","One Day In Your Life","Michael Jackson","Forever, Michael"
"05/23/1981","68","One Day In Your Life","Michael Jackson","Forever, Michael"
"05/30/1981","97","One Day In Your Life","Michael Jackson","Forever, Michael"
"11/06/1982","45","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"11/13/1982","36","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"11/20/1982","14","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"11/27/1982","9","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"12/04/1982","8","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"12/11/1982","5","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"12/18/1982","4","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"12/25/1982","3","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"01/01/1983","3","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"01/08/1983","2","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"01/15/1983","2","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"01/22/1983","2","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"01/22/1983","47","Billie Jean","Michael Jackson","Tabula Rasa"
"01/29/1983","5","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"01/29/1983","37","Billie Jean","Michael Jackson","Tabula Rasa"
"02/05/1983","16","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"02/05/1983","27","Billie Jean","Michael Jackson","Tabula Rasa"
"02/12/1983","23","Billie Jean","Michael Jackson","Tabula Rasa"
"02/12/1983","34","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"02/19/1983","6","Billie Jean","Michael Jackson","Tabula Rasa"
"02/19/1983","82","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"02/26/1983","4","Billie Jean","Michael Jackson","Tabula Rasa"
"02/26/1983","78","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"02/26/1983","91","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"03/05/1983","1","Billie Jean","Michael Jackson","Tabula Rasa"
"03/05/1983","65","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"03/05/1983","97","The Girl Is Mine","Michael Jackson","Thriller 25 Super Deluxe Edition"
"03/12/1983","1","Billie Jean","Michael Jackson","Tabula Rasa"
"03/12/1983","44","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"03/19/1983","1","Billie Jean","Michael Jackson","Tabula Rasa"
"03/19/1983","24","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"03/26/1983","1","Billie Jean","Michael Jackson","Tabula Rasa"
"03/26/1983","15","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"04/02/1983","1","Billie Jean","Michael Jackson","Tabula Rasa"
"04/02/1983","14","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"04/09/1983","1","Billie Jean","Michael Jackson","Tabula Rasa"
"04/09/1983","10","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"04/16/1983","1","Billie Jean","Michael Jackson","Tabula Rasa"
"04/16/1983","5","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"04/23/1983","2","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"04/23/1983","5","Billie Jean","Michael Jackson","Tabula Rasa"
"04/30/1983","1","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"04/30/1983","7","Billie Jean","Michael Jackson","Tabula Rasa"
"05/07/1983","1","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"05/07/1983","14","Billie Jean","Michael Jackson","Tabula Rasa"
"05/14/1983","1","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"05/14/1983","24","Billie Jean","Michael Jackson","Tabula Rasa"
"05/21/1983","2","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"05/21/1983","29","Billie Jean","Michael Jackson","Tabula Rasa"
"05/28/1983","3","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"05/28/1983","41","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"05/28/1983","42","Billie Jean","Michael Jackson","Tabula Rasa"
"06/04/1983","6","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"06/04/1983","22","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"06/04/1983","58","Billie Jean","Michael Jackson","Tabula Rasa"
"06/11/1983","6","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"06/11/1983","19","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"06/11/1983","65","Billie Jean","Michael Jackson","Tabula Rasa"
"06/18/1983","11","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"06/18/1983","17","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"06/18/1983","70","Billie Jean","Michael Jackson","Tabula Rasa"
"06/25/1983","11","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"06/25/1983","15","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"06/25/1983","73","Billie Jean","Michael Jackson","Tabula Rasa"
"07/02/1983","9","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/02/1983","16","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/02/1983","98","Billie Jean","Michael Jackson","Tabula Rasa"
"07/09/1983","6","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/09/1983","24","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/16/1983","5","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/16/1983","33","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/23/1983","5","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/23/1983","48","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/23/1983","53","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/30/1983","7","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/30/1983","35","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"07/30/1983","74","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"08/06/1983","10","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"08/06/1983","27","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"08/06/1983","87","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"08/13/1983","17","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"08/13/1983","23","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"08/13/1983","99","Beat It","Michael Jackson","Thriller 25 Super Deluxe Edition"
"08/20/1983","15","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"08/20/1983","46","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"08/27/1983","13","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"08/27/1983","66","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"09/03/1983","10","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"09/03/1983","89","Wanna Be Startin' Somethin'","Michael Jackson","Thriller 25 Super Deluxe Edition"
"09/10/1983","9","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"09/17/1983","7","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"09/24/1983","7","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"10/01/1983","15","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"10/08/1983","24","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"10/08/1983","75","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"10/15/1983","26","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"10/15/1983","55","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"10/15/1983","61","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"10/22/1983","19","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"10/22/1983","32","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"10/22/1983","87","Human Nature","Michael Jackson","Thriller 25 Super Deluxe Edition"
"10/29/1983","11","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"10/29/1983","23","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"11/05/1983","6","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"11/05/1983","20","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"11/12/1983","4","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"11/12/1983","18","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"11/19/1983","2","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"11/19/1983","13","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"11/26/1983","2","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"11/26/1983","10","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"12/03/1983","2","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"12/03/1983","12","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"12/10/1983","1","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"12/10/1983","20","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"12/17/1983","1","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"12/17/1983","36","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"12/24/1983","1","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"12/24/1983","47","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"12/31/1983","1","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"12/31/1983","47","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"01/07/1984","1","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"01/07/1984","64","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"01/14/1984","1","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"01/14/1984","71","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"01/21/1984","2","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"01/21/1984","75","P.Y.T. (Pretty Young Thing)","Michael Jackson","Thriller 25 Super Deluxe Edition"
"01/28/1984","7","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"02/04/1984","13","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"02/11/1984","20","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"02/11/1984","24","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"02/18/1984","7","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"02/18/1984","41","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"02/25/1984","5","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"02/25/1984","56","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"03/03/1984","4","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"03/03/1984","76","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"03/10/1984","4","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"03/10/1984","99","Say Say Say","Michael Jackson","Pipes Of Peace (Archive Collection)"
"03/17/1984","6","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"03/24/1984","11","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"03/31/1984","15","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"04/07/1984","23","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"04/14/1984","47","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"04/21/1984","69","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"04/28/1984","77","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"05/05/1984","96","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"05/12/1984","99","Thriller","Michael Jackson","Thriller 25 Super Deluxe Edition"
"05/26/1984","81","Farewell My Summer Love","Michael Jackson","none"
"06/02/1984","58","Farewell My Summer Love","Michael Jackson","none"
"06/09/1984","51","Farewell My Summer Love","Michael Jackson","none"
"06/16/1984","43","Farewell My Summer Love","Michael Jackson","none"
"06/23/1984","40","Farewell My Summer Love","Michael Jackson","none"
"06/30/1984","38","Farewell My Summer Love","Michael Jackson","none"
"07/07/1984","38","Farewell My Summer Love","Michael Jackson","none"
"07/14/1984","55","Farewell My Summer Love","Michael Jackson","none"
"07/21/1984","59","Farewell My Summer Love","Michael Jackson","none"
"07/28/1984","65","Farewell My Summer Love","Michael Jackson","none"
"08/04/1984","68","Farewell My Summer Love","Michael Jackson","none"
"08/11/1984","81","Farewell My Summer Love","Michael Jackson","none"
"08/08/1987","37","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"08/15/1987","16","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"08/22/1987","10","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"08/29/1987","6","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"09/05/1987","2","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"09/12/1987","2","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"09/19/1987","1","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"09/19/1987","40","Bad","Michael Jackson","Bad 25th Anniversary"
"09/26/1987","3","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"09/26/1987","29","Bad","Michael Jackson","Bad 25th Anniversary"
"10/03/1987","12","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"10/03/1987","16","Bad","Michael Jackson","Bad 25th Anniversary"
"10/10/1987","8","Bad","Michael Jackson","Bad 25th Anniversary"
"10/10/1987","23","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"10/17/1987","4","Bad","Michael Jackson","Bad 25th Anniversary"
"10/17/1987","39","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"10/24/1987","1","Bad","Michael Jackson","Bad 25th Anniversary"
"10/24/1987","62","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"10/31/1987","1","Bad","Michael Jackson","Bad 25th Anniversary"
"10/31/1987","77","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"11/07/1987","5","Bad","Michael Jackson","Bad 25th Anniversary"
"11/07/1987","99","I Just Can't Stop Loving You","Michael Jackson","Bad 25th Anniversary"
"11/14/1987","11","Bad","Michael Jackson","Bad 25th Anniversary"
"11/21/1987","24","Bad","Michael Jackson","Bad 25th Anniversary"
"11/21/1987","44","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"11/28/1987","35","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"11/28/1987","37","Bad","Michael Jackson","Bad 25th Anniversary"
"12/05/1987","29","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"12/05/1987","55","Bad","Michael Jackson","Bad 25th Anniversary"
"12/12/1987","17","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"12/12/1987","71","Bad","Michael Jackson","Bad 25th Anniversary"
"12/19/1987","11","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"12/19/1987","100","Bad","Michael Jackson","Bad 25th Anniversary"
"12/26/1987","7","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
"01/02/1988","7","The Way You Make Me Feel","Michael Jackson","Bad 25th Anniversary"
