Year,Rank,Song Title,Artist,Album
1/30/10,27,Paparazzi,Lady Gaga,A Night In Strings
2/6/10,3,Bad Romance,Lady Gaga,The Fame Monster
2/6/10,20,Telephone,Lady Gaga,The Fame Monster
2/6/10,30,Paparazzi,Lady Gaga,A Night In Strings
2/13/10,2,Bad Romance,Lady Gaga,The Fame Monster
2/13/10,19,Telephone,Lady Gaga,The Fame Monster
2/13/10,32,Paparazzi,Lady Gaga,A Night In Strings
2/20/10,5,Bad Romance,Lady Gaga,The Fame Monster
2/20/10,16,Telephone,Lady Gaga,The Fame Monster
2/20/10,33,Paparazzi,Lady Gaga,A Night In Strings
2/27/10,5,Bad Romance,Lady Gaga,The Fame Monster
2/27/10,15,Telephone,Lady Gaga,The Fame Monster
2/27/10,37,Paparazzi,Lady Gaga,A Night In Strings
3/6/10,4,Bad Romance,Lady Gaga,The Fame Monster
3/6/10,14,Telephone,Lady Gaga,The Fame Monster
3/6/10,40,Paparazzi,Lady Gaga,A Night In Strings
3/13/10,5,Bad Romance,Lady Gaga,The Fame Monster
3/13/10,12,Telephone,Lady Gaga,The Fame Monster
3/13/10,49,Paparazzi,Lady Gaga,A Night In Strings
3/20/10,9,Bad Romance,Lady Gaga,The Fame Monster
3/20/10,11,Telephone,Lady Gaga,The Fame Monster
3/27/10,9,Telephone,Lady Gaga,The Fame Monster
3/27/10,15,Bad Romance,Lady Gaga,The Fame Monster
4/3/10,3,Telephone,Lady Gaga,The Fame Monster
4/3/10,14,Bad Romance,Lady Gaga,The Fame Monster
4/10/10,5,Telephone,Lady Gaga,The Fame Monster
4/10/10,14,Bad Romance,Lady Gaga,The Fame Monster
4/17/10,5,Telephone,Lady Gaga,The Fame Monster
4/17/10,17,Bad Romance,Lady Gaga,The Fame Monster
4/17/10,72,Alejandro,Lady Gaga,The Fame Monster
4/24/10,7,Telephone,Lady Gaga,The Fame Monster
4/24/10,21,Bad Romance,Lady Gaga,The Fame Monster
4/24/10,50,Alejandro,Lady Gaga,The Fame Monster
5/1/10,7,Telephone,Lady Gaga,The Fame Monster
5/1/10,24,Bad Romance,Lady Gaga,The Fame Monster
5/1/10,28,Alejandro,Lady Gaga,The Fame Monster
5/8/10,10,Telephone,Lady Gaga,The Fame Monster
5/8/10,20,Alejandro,Lady Gaga,The Fame Monster
5/8/10,28,Bad Romance,Lady Gaga,The Fame Monster
5/15/10,13,Telephone,Lady Gaga,The Fame Monster
5/15/10,16,Alejandro,Lady Gaga,The Fame Monster
5/15/10,25,Bad Romance,Lady Gaga,The Fame Monster
