Year,Rank,Song Title,Artist(s)
5/7/83,1,Beat It,Michael Jackson
5/7/83,14,Billie Jean,Michael Jackson
5/14/83,1,Beat It,Michael Jackson
5/14/83,24,Billie Jean,Michael Jackson
5/21/83,2,Beat It,Michael Jackson
5/21/83,29,Billie Jean,Michael Jackson
5/28/83,3,Beat It,Michael Jackson
5/28/83,41,Wanna Be Startin' Somethin',Michael Jackson
5/28/83,42,Billie Jean,Michael Jackson
6/4/83,6,Beat It,Michael Jackson
6/4/83,22,Wanna Be Startin' Somethin',Michael Jackson
6/4/83,58,Billie Jean,Michael Jackson
6/11/83,6,Beat It,Michael Jackson
6/11/83,19,Wanna Be Startin' Somethin',Michael Jackson
6/11/83,65,Billie Jean,Michael Jackson
6/18/83,11,Beat It,Michael Jackson
6/18/83,17,Wanna Be Startin' Somethin',Michael Jackson
6/18/83,70,Billie Jean,Michael Jackson
6/25/83,11,Beat It,Michael Jackson
6/25/83,15,Wanna Be Startin' Somethin',Michael Jackson
6/25/83,73,Billie Jean,Michael Jackson
7/2/83,9,Wanna Be Startin' Somethin',Michael Jackson
7/2/83,16,Beat It,Michael Jackson
7/2/83,98,Billie Jean,Michael Jackson
7/9/83,6,Wanna Be Startin' Somethin',Michael Jackson
7/9/83,24,Beat It,Michael Jackson
7/16/83,5,Wanna Be Startin' Somethin',Michael Jackson
7/16/83,33,Beat It,Michael Jackson
7/23/83,5,Wanna Be Startin' Somethin',Michael Jackson
7/23/83,48,Human Nature,Michael Jackson
7/23/83,53,Beat It,Michael Jackson
7/30/83,7,Wanna Be Startin' Somethin',Michael Jackson
7/30/83,35,Human Nature,Michael Jackson
7/30/83,74,Beat It,Michael Jackson
8/6/83,10,Wanna Be Startin' Somethin',Michael Jackson
8/6/83,27,Human Nature,Michael Jackson
8/6/83,87,Beat It,Michael Jackson
8/13/83,17,Wanna Be Startin' Somethin',Michael Jackson
8/13/83,23,Human Nature,Michael Jackson
8/13/83,99,Beat It,Michael Jackson
8/20/83,15,Human Nature,Michael Jackson
8/20/83,46,Wanna Be Startin' Somethin',Michael Jackson
8/27/83,13,Human Nature,Michael Jackson
